Opetuksen järjestäjä,"Hinta, €/päivä"
Ristijärven kunta,3.91
Rovaniemen kaupunki,2.27
Ruokolahden kunta,3.94
Ruoveden kunta,3.17
Ruskon kunta,2.58
Rääkkylän kunta,3.65
Saarijärven kaupunki,2.4
Sallan kunta,5.19
Salon kaupunki,3.71
Sastamalan kaupunki,2.92
Sauvon kunta,2.75
Savitaipaleen kunta,4.26
Savonlinnan kaupunki,2.36
Savukosken kunta,6.93
Seinäjoen kaupunki,2.86
Sibbo kommun,3.71
Sievin kunta,2.87
Siikaisten kunta,3
Siikajoen kunta,3.2
Siikalatvan kunta,3.06
Siilinjärven kunta,3.15
Simon kunta,3.55
Siuntion kunta,3.69
Sodankylän kunta,4.2
Someron kaupunki,3.01
Sonkajärven kunta,3.82
Sotkamon kunta,3.1
Sulkavan kunta,4.85
Suomussalmen kunta,3.52
Suonenjoen kaupunki,3.18
Sysmän kunta,3.23
Säkylän kunta,2.85
Taipalsaaren kunta,2.97
Taivalkosken kunta,3.22
Taivassalon kunta,4.36
Tammelan kunta,2.77
Tampereen kaupunki,2.49
Tervolan kunta,3.61
Tervon kunta,3.31
Teuvan kunta,3.85
Tohmajärven kunta,4.12
Toholammin kunta,4.06
Toivakan kunta,3.88
Tornion kaupunki,2.31
Turun kaupunki,2.7
Tuusniemen kunta,5.26
Tuusulan kunta,2.83
Tyrnävän kunta,1.96
Ulvilan kaupunki,3.84
Urjalan kunta,3.89
Utajärven kunta,2.23
Utsjoen kunta,5
Uudenkaupungin kaupunki,2.53
Uuraisten kunta,3.79
Vaalan kunta,4.11
Vaasan kaupunki,3.1
Valkeakosken kaupunki,2.89
Valtimon kunta,4.12
Vantaan kaupunki,1.67
Varkauden kaupunki,3.8
Vehmaan kunta,4.21
Vesannon kunta,2.97
Vesilahden kunta,2.72
Vetelin kunta,4.11
Vieremän kunta,3.85
Vihdin kunta,3.22
Virolahden kunta,3.79
Virtain kaupunki,4.7
Vöyrin kunta,3.17
Ylitornion kunta,5.84
Ylivieskan kaupunki,3.01
Ylöjärven kaupunki,2.85
Ypäjän kunta,3.62
Ähtärin kaupunki,4.09
Äänekosken kaupunki,4.17
